transaction_id,amount,currency,customer_id,timestamp
1,100.50,USD,123,2023-01-01 10:00:00
2,250.00,USD,124,2023-01-02 11:15:00
3,75.25,EUR,125,2023-01-03 09:45:00
4,300.00,USD,126,2023-01-04 14:20:00
5,,USD,127,2023-01-05 16:00:00
6,200.00,USD,128,2023-01-06 17:30:00
7,150.00,USD,129,2023-01-07 18:45:00
8,50.00,USD,130,2023-01-08 19:00:00
9,500.00,USD,131,2023-01-09 20:00:00
10,100.00,USD,132,2023-01-10 21:00:00
11,250.00,USD,133,2023-01-11 22:00:00
12,75.25,EUR,134,2023-01-12 23:00:00
13,300.00,USD,135,2023-01-13 00:00:00
14,200.00,USD,136,2023-01-14 01:00:00
15,150.00,USD,137,2023-01-15 02:00:00
16,50.00,USD,138,2023-01-16 03:00:00